OverallRating,SentimentScore,count
9.0,0.5719,1
7.9,0.7964,1
7.9,0.5106,1
7.8,0.4939,2
3.4,0.2732,1
8.5,0.0,7
6.2,0.0,11
6.7,0.0,4
0.6,-0.3182,1
1.0,0.0,13
3.2,-0.296,1
1.5,-0.1695,1
4.0,0.0,11
1.3,-0.34,2
3.3,0.0,8
1.7,0.4939,1
9.1,0.4404,1
9.9,0.0,5
1.4,0.0,12
6.3,0.6249,1
8.6,0.4927,1
8.6,0.6249,1
7.9,0.2263,1
4.3,-0.3182,1
8.8,0.5106,2
6.6,0.0,6
9.1,0.5719,1
4.5,0.4215,1
4.3,0.0,9
0.5,0.0,7
7.3,0.5719,1
6.3,0.0,7
9.6,0.2023,1
3.4,0.0,16
2.4,0.0,16
10.0,0.6124,4
6.8,-0.5106,1
0.3,-0.2263,1
8.2,0.4939,1
8.5,0.4767,1
0.1,-0.6249,1
0.4,-0.5106,1
6.0,0.4215,1
1.7,-0.4939,2
7.9,0.6249,1
7.9,0.5719,1
1.6,-0.4939,1
7.3,-0.4404,1
6.3,0.4939,1
4.8,-0.4767,1
4.4,-0.5256,1
5.4,0.0,3
2.7,-0.296,1
1.8,0.5423,1
1.8,-0.6249,5
8.1,0.6249,1
9.1,0.5563,1
9.1,0.6249,1
0.0,0.0,7
10.0,0.3612,1
1.0,-0.4767,2
2.1,-0.4767,3
4.3,0.5106,1
4.9,-0.4588,1
1.6,0.0,28
10.0,0.6249,5
4.7,0.4404,1
7.4,0.4404,2
8.9,0.6124,1
0.7,-0.4588,1
4.6,0.0,4
8.0,0.5719,2
3.0,-0.4939,1
3.3,0.3182,1
9.3,0.5719,1
1.1,-0.4939,3
7.3,0.4754,1
4.6,0.3612,1
3.9,-0.2732,1
7.2,-0.1531,1
2.7,0.0,11
9.4,0.4939,1
1.2,-0.4588,1
6.9,0.0,4
0.7,0.1027,1
7.4,0.2023,1
7.0,-0.2732,1
2.7,-0.3612,3
0.9,-0.4588,1
7.7,0.4215,1
1.3,0.1695,1
3.2,-0.2755,1
1.0,-0.25,1
8.6,0.0,9
2.5,-0.4019,1
2.9,0.4215,1
4.7,-0.3182,1
2.4,-0.3612,2
5.6,0.0,10
4.3,-0.2263,1
2.4,-0.4391,2
9.7,0.3612,1
1.5,-0.4019,1
7.0,-0.296,1
8.7,0.6249,2
7.8,0.4019,1
8.1,0.4927,2
9.1,0.4215,1
4.7,0.0,5
7.4,0.0,10
5.1,-0.2584,1
9.8,0.762,1
9.4,0.4767,1
0.6,-0.3612,1
8.5,0.34,1
9.7,0.4588,1
1.9,0.0,15
1.0,-0.3818,1
2.7,0.4404,2
0.6,-0.2732,1
5.9,-0.2023,1
4.2,-0.4404,1
7.2,0.0,5
2.5,-0.5719,1
2.6,-0.4588,1
8.9,0.4404,2
7.4,0.3612,1
8.4,0.5563,1
2.2,-0.296,1
1.7,-0.296,2
6.1,0.0,9
5.0,-0.6369,1
2.3,-0.4767,2
0.7,-0.4767,1
4.4,0.2263,1
7.3,0.5574,2
0.4,-0.2755,1
5.9,0.0,6
6.9,0.5413,1
2.3,0.296,1
1.1,-0.6249,3
3.3,0.4404,1
3.9,-0.4939,2
0.8,0.0,15
6.7,-0.3182,1
2.9,-0.6249,1
1.2,-0.6249,3
7.8,0.3612,2
3.9,0.0,9
7.2,0.4404,4
1.3,-0.296,1
1.2,-0.4939,1
3.5,0.4939,1
1.9,0.4939,1
9.7,-0.3612,1
5.5,-0.296,1
7.1,-0.3818,1
8.2,0.4754,2
0.9,0.4767,1
1.5,-0.3818,1
9.9,0.6369,1
1.5,0.0,21
7.7,0.0,6
5.0,0.4404,1
2.6,-0.4939,2
